[2023-06-05 14:46:19,168] cfg: walk | iter 1/77 | T_i 5.50s | ETA 0:06:52
[2023-06-05 14:46:24,928] cfg: walk | iter 2/77 | T_i 5.76s | ETA 0:07:06
[2023-06-05 14:46:30,572] cfg: walk | iter 3/77 | T_i 5.64s | ETA 0:06:52
[2023-06-05 14:46:36,333] cfg: walk | iter 4/77 | T_i 5.76s | ETA 0:06:55
[2023-06-05 14:46:42,011] cfg: walk | iter 5/77 | T_i 5.68s | ETA 0:06:43
[2023-06-05 14:46:47,770] cfg: walk | iter 6/77 | T_i 5.76s | ETA 0:06:43
[2023-06-05 14:46:53,474] cfg: walk | iter 7/77 | T_i 5.70s | ETA 0:06:34
[2023-06-05 14:46:59,226] cfg: walk | iter 8/77 | T_i 5.75s | ETA 0:06:31
[2023-06-05 14:47:05,106] cfg: walk | iter 9/77 | T_i 5.88s | ETA 0:06:34
[2023-06-05 14:47:10,900] cfg: walk | iter 10/77 | T_i 5.79s | ETA 0:06:22
[2023-06-05 14:47:16,713] cfg: walk | iter 11/77 | T_i 5.81s | ETA 0:06:18
[2023-06-05 14:47:22,119] cfg: walk | iter 12/77 | T_i 5.41s | ETA 0:05:46
[2023-06-05 14:47:27,655] cfg: walk | iter 13/77 | T_i 5.54s | ETA 0:05:49
[2023-06-05 14:47:33,161] cfg: walk | iter 14/77 | T_i 5.51s | ETA 0:05:41
[2023-06-05 14:47:38,571] cfg: walk | iter 15/77 | T_i 5.41s | ETA 0:05:30
[2023-06-05 14:47:44,076] cfg: walk | iter 16/77 | T_i 5.50s | ETA 0:05:30
[2023-06-05 14:47:50,010] cfg: walk | iter 17/77 | T_i 5.93s | ETA 0:05:50
[2023-06-05 14:47:56,121] cfg: walk | iter 18/77 | T_i 6.11s | ETA 0:05:54
[2023-06-05 14:48:01,960] cfg: walk | iter 19/77 | T_i 5.84s | ETA 0:05:33
[2023-06-05 14:48:07,693] cfg: walk | iter 20/77 | T_i 5.73s | ETA 0:05:21
[2023-06-05 14:48:13,190] cfg: walk | iter 21/77 | T_i 5.50s | ETA 0:05:02
[2023-06-05 14:48:19,063] cfg: walk | iter 22/77 | T_i 5.87s | ETA 0:05:17
[2023-06-05 14:48:24,928] cfg: walk | iter 23/77 | T_i 5.87s | ETA 0:05:11
[2023-06-05 14:48:31,212] cfg: walk | iter 24/77 | T_i 6.28s | ETA 0:05:27
[2023-06-05 14:48:37,017] cfg: walk | iter 25/77 | T_i 5.80s | ETA 0:04:56
[2023-06-05 14:48:42,474] cfg: walk | iter 26/77 | T_i 5.46s | ETA 0:04:33
[2023-06-05 14:48:48,038] cfg: walk | iter 27/77 | T_i 5.56s | ETA 0:04:33
[2023-06-05 14:48:53,496] cfg: walk | iter 28/77 | T_i 5.46s | ETA 0:04:22
[2023-06-05 14:48:58,893] cfg: walk | iter 29/77 | T_i 5.40s | ETA 0:04:14
[2023-06-05 14:49:04,655] cfg: walk | iter 30/77 | T_i 5.76s | ETA 0:04:25
[2023-06-05 14:49:10,552] cfg: walk | iter 31/77 | T_i 5.90s | ETA 0:04:25
[2023-06-05 14:49:16,121] cfg: walk | iter 32/77 | T_i 5.57s | ETA 0:04:05
[2023-06-05 14:49:21,321] cfg: walk | iter 33/77 | T_i 5.20s | ETA 0:03:44
[2023-06-05 14:49:26,551] cfg: walk | iter 34/77 | T_i 5.23s | ETA 0:03:40
[2023-06-05 14:49:31,987] cfg: walk | iter 35/77 | T_i 5.43s | ETA 0:03:43
[2023-06-05 14:49:37,507] cfg: walk | iter 36/77 | T_i 5.52s | ETA 0:03:41
[2023-06-05 14:49:43,169] cfg: walk | iter 37/77 | T_i 5.66s | ETA 0:03:41
[2023-06-05 14:49:48,855] cfg: walk | iter 38/77 | T_i 5.69s | ETA 0:03:36
[2023-06-05 14:49:54,292] cfg: walk | iter 39/77 | T_i 5.44s | ETA 0:03:21
[2023-06-05 14:49:59,718] cfg: walk | iter 40/77 | T_i 5.42s | ETA 0:03:15
[2023-06-05 14:50:04,925] cfg: walk | iter 41/77 | T_i 5.21s | ETA 0:03:02
[2023-06-05 14:50:10,491] cfg: walk | iter 42/77 | T_i 5.57s | ETA 0:03:09
[2023-06-05 14:50:16,058] cfg: walk | iter 43/77 | T_i 5.57s | ETA 0:03:04
[2023-06-05 14:50:21,800] cfg: walk | iter 44/77 | T_i 5.74s | ETA 0:03:04
[2023-06-05 14:50:27,193] cfg: walk | iter 45/77 | T_i 5.39s | ETA 0:02:47
[2023-06-05 14:50:32,579] cfg: walk | iter 46/77 | T_i 5.39s | ETA 0:02:42
[2023-06-05 14:50:38,335] cfg: walk | iter 47/77 | T_i 5.76s | ETA 0:02:47
[2023-06-05 14:50:44,011] cfg: walk | iter 48/77 | T_i 5.67s | ETA 0:02:39
[2023-06-05 14:50:49,848] cfg: walk | iter 49/77 | T_i 5.84s | ETA 0:02:38
[2023-06-05 14:50:55,725] cfg: walk | iter 50/77 | T_i 5.88s | ETA 0:02:33
[2023-06-05 14:51:01,419] cfg: walk | iter 51/77 | T_i 5.69s | ETA 0:02:22
[2023-06-05 14:51:06,781] cfg: walk | iter 52/77 | T_i 5.36s | ETA 0:02:09
[2023-06-05 14:51:12,373] cfg: walk | iter 53/77 | T_i 5.59s | ETA 0:02:09
[2023-06-05 14:51:18,059] cfg: walk | iter 54/77 | T_i 5.69s | ETA 0:02:05
[2023-06-05 14:51:23,599] cfg: walk | iter 55/77 | T_i 5.54s | ETA 0:01:56
[2023-06-05 14:51:29,317] cfg: walk | iter 56/77 | T_i 5.72s | ETA 0:01:54
[2023-06-05 14:51:34,905] cfg: walk | iter 57/77 | T_i 5.59s | ETA 0:01:46
[2023-06-05 14:51:40,369] cfg: walk | iter 58/77 | T_i 5.46s | ETA 0:01:38
[2023-06-05 14:51:45,803] cfg: walk | iter 59/77 | T_i 5.43s | ETA 0:01:32
[2023-06-05 14:51:51,251] cfg: walk | iter 60/77 | T_i 5.45s | ETA 0:01:27
[2023-06-05 14:51:57,497] cfg: walk | iter 61/77 | T_i 6.25s | ETA 0:01:34
[2023-06-05 14:52:03,514] cfg: walk | iter 62/77 | T_i 6.02s | ETA 0:01:24
[2023-06-05 14:52:09,286] cfg: walk | iter 63/77 | T_i 5.77s | ETA 0:01:15
[2023-06-05 14:52:14,947] cfg: walk | iter 64/77 | T_i 5.66s | ETA 0:01:08
[2023-06-05 14:52:20,779] cfg: walk | iter 65/77 | T_i 5.83s | ETA 0:01:04
[2023-06-05 14:52:26,293] cfg: walk | iter 66/77 | T_i 5.51s | ETA 0:00:55
[2023-06-05 14:52:32,027] cfg: walk | iter 67/77 | T_i 5.73s | ETA 0:00:52
[2023-06-05 14:52:37,651] cfg: walk | iter 68/77 | T_i 5.62s | ETA 0:00:45
[2023-06-05 14:52:43,287] cfg: walk | iter 69/77 | T_i 5.64s | ETA 0:00:39
[2023-06-05 14:52:48,547] cfg: walk | iter 70/77 | T_i 5.26s | ETA 0:00:32
[2023-06-05 14:52:53,865] cfg: walk | iter 71/77 | T_i 5.32s | ETA 0:00:27
[2023-06-05 14:52:59,230] cfg: walk | iter 72/77 | T_i 5.37s | ETA 0:00:21
[2023-06-05 14:53:04,685] cfg: walk | iter 73/77 | T_i 5.45s | ETA 0:00:16
[2023-06-05 14:53:10,261] cfg: walk | iter 74/77 | T_i 5.57s | ETA 0:00:11
